# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-t" "exon" "-g" "gene_id" "-a" "/home/flst8788/Genome-Analysis-1MB462/analysis/03_annotation/braker_chr3_ET/braker.gtf" "-o" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/featurecounts/counts.txt" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_1.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_2.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_3.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_1.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_2.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_1.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_2.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_3.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_1.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_2.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_3.sorted.bam
g345	contig_122_pilon	1077218	1080067	-	2850	0	0	0	0	0	0
g346	contig_122_pilon;contig_122_pilon	1081368;1081677	1081449;1081972	-;-	378	0	0	0	0	0	0
g347	contig_122_pilon	1084725	1085025	-	301	0	0	0	0	0	0
g348	contig_123_pilon;contig_123_pilon;contig_123_pilon	13894;14185;14719	14097;14305;14990	+;+;+	597	0	0	0	0	0	0
g349	contig_123_pilon;contig_123_pilon;contig_123_pilon	59941;60202;60467	60011;60284;60603	+;+;+	291	4627	3699	7974	5298	4588	6193
g350	contig_123_pilon;contig_123_pilon;contig_123_pilon	60902;61003;61677	60928;61202;61767	+;+;+	318	4895	5647	6390	5413	5173	8203
g351	contig_123_pilon;contig_123_pilon;contig_123_pilon;contig_123_pilon;contig_123_pilon	64830;65274;65850;66108;66290	64963;65655;65964;66187;66364	-;-;-;-;-	786	6545	11192	10461	6706	5631	11727
g352	contig_124_pilon;contig_124_pilon;contig_124_pilon;contig_124_pilon;contig_124_pilon;contig_124_pilon;contig_124_pilon;contig_124_pilon	9445;9653;12821;13435;13653;14983;15197;15674	9477;9813;12944;13538;13744;15098;15549;15770	+;+;+;+;+;+;+;+	1080	0	0	0	0	0	0
g353	contig_125_pilon	1091	1366	-	276	0	0	0	0	0	2
g354	contig_125_pilon	1880	2335	-	456	1	0	0	0	0	9
g355	contig_125_pilon	2355	2615	-	261	0	0	1	0	0	0
g356	contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon;contig_125_pilon	4259;4761;5022;5577;5944	4562;4888;5255;5835;6152	+;+;+;+;+	1134	0	0	0	20	0	100
g357	contig_125_pilon;contig_125_pilon;contig_125_pilon	6519;6712;6873	6623;6828;6977	+;+;+	327	0	0	1	9	0	30
g358	contig_125_pilon;contig_125_pilon;contig_125_pilon	6716;6997;7042	7000;7452;7452	+;+;+	737	0	0	0	2	0	15
g359	contig_125_pilon;contig_125_pilon	8092;8580	8234;8865	+;+	429	0	0	0	1	0	0
g360	contig_127_pilon	29	400	-	372	0	0	0	0	0	0
g361	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	7559;7991;8040;8195;8491;8740;8807;8991;9294;9475;9726;10029	7654;7997;8094;8271;8528;8763;8815;9095;9346;9562;9850;10374	-;-;-;-;-;-;-;-;-;-;-;-	1023	856	1754	1981	4182	3592	2712
g362	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	11020;11265;11817;12189	11151;11488;12038;12594	-;-;-;-	984	80	171	304	594	329	328
g363	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	29736;30856;31036;32437	29937;30900;31168;32578	+;+;+;+	522	227	373	529	144	59	106
g364	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	32604;32604;32604;32787;32787;32787;33757;33757;33757;34430;34430;34681;34959;34959;34959;35223;35223;35223;35994;35994;35994;36338;37096;37096;37096	32636;32636;32636;33446;33446;33446;34364;34364;34364;34496;34496;34708;35053;35053;35053;35275;35275;35275;36145;36050;36145;36381;37125;37125;37125	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1770	985	1632	2323	646	549	495
g365	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	37331;37734;37923;38187;38427;38767;39099;39495;39747;40045;40426;40725;41126;41409;41756;42013;42422;42744;43149;43342;43919;44141	37355;37813;38015;38288;38549;38828;39179;39549;39815;40230;40477;40767;41222;41603;41908;42234;42603;42843;43208;43428;44038;44455	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2502	1836	7851	7369	1290	629	1145
g366	contig_127_pilon;contig_127_pilon	46272;46466	46421;46711	+;+	396	0	0	0	0	4	0
g367	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	51824;52289;52817;53063;53730;55361;56232;57038;57342;57931;58408;58667;58984;59314;59631;60029;60364;62925	52135;52694;52858;53121;53998;55967;56306;57178;57535;58023;58506;58724;59112;59375;59702;60131;60435;63677	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3546	1520	2841	2598	1994	875	975
g368	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	67353;67467;67721;68003;68236;68597;69709	67361;67513;67869;68112;68323;68903;69781	-;-;-;-;-;-;-	783	551	415	647	578	492	411
g369	contig_127_pilon	69823	70068	+	246	10	23	16	11	10	10
g370	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	73789;74317;75363;75986;76458	74027;74585;75938;76401;76745	+;+;+;+;+	1788	0	0	0	14	13	1
g371	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	78192;78329;78583;78865;79096;79458;80028;80334	78194;78375;78731;78974;79399;79764;80220;80405	-;-;-;-;-;-;-;-	1185	165	47	67	187	109	48
g372	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	80432;80966;82927;83157;83418;83698;83927;84075;84287;85417;85931	80834;81219;83033;83210;83566;83807;84013;84228;84593;85574;85980	-;-;-;-;-;-;-;-;-;-;-	1833	4771	2232	3756	6627	5538	3187
g373	contig_127_pilon;contig_127_pilon;contig_127_pilon	93338;93774;94112	93438;93840;94156	+;+;+	213	1	33	6	0	0	0
g374	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	94648;94648;95289;95289;96176;96492	95122;95122;95942;95929;96218;96570	-;-;-;-;-;-	1251	0	9	0	0	0	0
g375	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	96415;99211;99492;99899;100261;100464;100767;101678;102050;102669;103168;103651;103914;104285;104501;104770;104971;105264;105607;105794;106334	96730;99354;99839;100146;100355;100554;100904;101753;102133;102994;103244;103738;103946;104341;104585;104819;105027;105342;105665;105851;106446	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2622	1090	1309	1202	1882	858	1546
g376	contig_127_pilon	108276	108680	-	405	36	66	21	11	2	45
g377	contig_127_pilon;contig_127_pilon	109021;110659	109341;110904	+;+	567	1	10	5	10	4	16
g378	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	112452;112850;112967;113298	112714;112896;113204;113424	-;-;-;-	675	132	125	269	248	129	319
g379	contig_127_pilon	120112	120873	-	762	0	0	0	0	0	0
g380	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	121236;121756;125932;126650;127165;127738;128342;129049	121661;122274;126021;126944;127550;127814;128960;129225	-;-;-;-;-;-;-;-	2589	3173	4186	3619	3632	1740	3319
g381	contig_127_pilon;contig_127_pilon	135577;135733	135682;135923	-;-	297	0	0	0	0	0	0
g382	contig_127_pilon;contig_127_pilon	141997;142236	142050;142463	-;-	282	3	1	7	11	0	0
g383	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	142534;142534;142742;142742;143369;143369;144749;144749;144881;144881;145192;145192;146361;146361;147318;147318;148593;148593;148909;148909;149057;149057;149224;149224;149734;149739;149794;150085;150085;150283;150283;150630;150630;151094;151094	142613;142613;142797;142797;143580;143580;144759;144759;144930;144930;146075;146075;146766;146766;147535;147535;148737;148737;148954;148954;149132;149132;149302;149302;149817;149744;149817;150150;150150;150409;150409;150794;150794;151124;151124	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2736	2333	1598	1557	1326	1078	1343
g384	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	151637;152087;152432;153542	151703;152218;152525;153809	+;+;+;+	561	0	8	7	1	4	5
g385	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	153936;153936;153936;154289;154289;154289;154831;154831;154831;155023;155023;155023;162109;162109;162109;162353;162353;162353;162559;162559;162559;162842;162842;162842;163179;163179;163179;163537;163537;163537;169277;169277;169277;169825;169825;169825;170081;170081;170081;170324;170324;170324;171232;171232;171232;171892;171892;171892;172615;172624;172655;172655;172703;172992;172992;172992;172992;173347;173347;173347;173347;173666;173666;173666;173666;173848;173906;173906;173906;174180;174180;174180;174180;174418;174418;174418;174418;174755;174755;174755;174755;175092;175092;175092;175092;175575;175575;175575;175575;176554;176554;176554;176554;176824;176824;176824;176824;177211;177211;177211;177211	154147;154147;154147;154619;154619;154619;154943;154943;154943;155106;155106;155106;162303;162303;162303;162397;162397;162397;162727;162727;162727;163135;163135;163135;163237;163237;163237;163603;163603;163603;169497;169497;169497;169976;169976;169976;170146;170146;170146;170569;170569;170569;171665;171665;171665;172219;172219;172219;172831;172650;172831;172831;172831;173059;173059;173059;173059;173454;173454;173454;173454;173779;173779;173779;173779;173865;174001;174001;174001;174278;174278;174278;174278;174546;174546;174546;174546;174859;174859;174859;174859;175259;175259;175259;175259;175738;175738;175738;175738;176623;176623;176623;176623;177059;177059;177059;177059;177460;177460;177460;177460	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4858	1775	1600	1266	2290	841	2248
g386	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	178590;179301;179659;180292;180574	179108;179499;179723;180451;181085	-;-;-;-;-	1455	514	364	504	384	177	652
g387	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	181662;181879;182472;182560	181680;182384;182503;182671	+;+;+;+	669	5	4	20	34	16	21
g388	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	182699;183551;183985;184588	182884;183883;184150;185189	+;+;+;+	1287	621	747	714	654	809	652
g389	contig_127_pilon;contig_127_pilon	186244;186996	186863;187152	-;-	777	13	6	5	10	12	3
g390	contig_127_pilon;contig_127_pilon;contig_127_pilon	187213;187548;188475	187391;187820;188754	+;+;+	732	0	0	0	8	8	5
g391	contig_127_pilon	190311	190988	+	678	94	1157	909	53	29	76
g392	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	191718;191788;192139;192139;192462;192462;193056;193056	191900;191895;192290;192290;192560;192560;193305;193305	-;-;-;-;-;-;-;-	684	120	146	223	208	87	277
g393	contig_127_pilon	193689	193922	+	234	9	12	10	15	2	15
g394	contig_127_pilon;contig_127_pilon	205103;205517	205279;206185	+;+	846	0	0	0	0	0	0
g395	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	208014;208450;208874;209085	208365;208567;208983;209158	+;+;+;+	654	342	316	447	511	333	327
g396	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	209186;210146;210448;210622;211017	209322;210208;210525;210784;211292	+;+;+;+;+	717	2091	1907	1920	2641	2253	1999
g397	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	215774;215774;217023;217023;217329;217329;217607;217607;217856;217856;218073;218073;218310;218310;218529;218529;218855;218855;219214;219214;219675;219675;220249;220249;220600;220818;220818;221646;221646	216909;216909;217152;217152;217499;217499;217752;217752;217955;217955;218197;218197;218390;218390;218638;218638;219078;219078;219449;219449;219822;219822;220442;220442;220659;221224;221224;221701;221701	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3324	42	69	103	146	50	215
g398	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	223605;223961;224314;224516;224876;225227;225601;225921;226333	223754;224056;224399;224603;224959;225411;225778;226110;226511	+;+;+;+;+;+;+;+;+	1236	0	0	0	4	0	3
g399	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	226911;226911;226911;227353;227353;227353;227684;227684;227684;228054;228054;228054;228685;228685;228685;229021;229021;229021;229687;229687;230069;230310	227026;227026;227026;227470;227470;227470;227765;227765;227765;228357;228357;228357;228894;228894;228894;229408;229327;229406;229770;229799;230146;230354	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1454	243	192	307	227	126	385
g400	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	230459;231061;231247;232121;232718;233022;233407;234116;234448;234654;242153	230483;231142;231412;232258;232834;233195;233613;234262;234536;234746;242666	+;+;+;+;+;+;+;+;+;+;+	1752	453	487	421	594	358	595
g401	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	242871;242871;243092;243092;243390;243390;244249;244302	243047;243047;243245;243245;243492;243492;244276;244380	+;+;+;+;+;+;+;+	541	187	164	261	459	169	452
g402	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	244584;245625;245801;246237;246957;247979;248324;248632	245213;245674;245936;246369;247588;248113;248368;248769	+;+;+;+;+;+;+;+	1899	912	1016	1393	2586	1460	2273
g403	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	251020;251020;251439;251439;251806;251806;252237;252237;252745;252745;253393;253393;254282;254282;254505;254505;255011;255548;255865;256124;260967;261473;261704;262799	251307;251307;251583;251583;252107;252107;252523;252523;252979;252979;253800;253800;254345;254345;254893;254901;255064;255783;256024;256513;261203;261566;261762;263159	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3717	80	624	154	97	37	6
g404	contig_127_pilon	255130	255333	+	204	0	0	0	0	0	0
g405	contig_127_pilon	268682	268942	-	261	0	2	0	0	0	0
g406	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	291446;293009;293532;294563	291476;293404;293951;294585	+;+;+;+	870	2	20	14	10	3	5
g407	contig_127_pilon;contig_127_pilon;contig_127_pilon	294625;295256;295902	295028;295773;296569	+;+;+	1590	2085	9854	9563	2408	1155	3624
g408	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	298976;298976;299158;299367;299502;300147;300147;300249;300249;301045;301045;301382;301382;303970;303970;304413;304413;304738;304738;304986;304986;305394;305394;305683;305683;305958;305958;306316;306316;306840;306840;307227;307227;307316;307316;307764;307764;308149;308149	298979;298979;299250;299592;299592;300202;300202;300295;300295;301308;301308;301573;301573;304107;304107;304527;304527;304856;304856;305163;305163;305519;305519;305834;305834;306101;306101;306531;306531;306932;306932;307269;307269;307322;307322;308044;308044;308327;308327	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2673	1656	2286	1879	3884	2685	3021
g409	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	312440;312690;314742;315170	312643;314574;314787;315191	+;+;+;+	2157	1310	984	1850	2113	796	1942
g410	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	315807;315807;316062;316062;316460;316460;316844;316844;317282;317282;317773;317773;318130;318130;318493;318493;318752;318752;319047;319047;319366;319791;319791;320007;320007;320242;320242;320578;320578;320799;320799;321056;321056;321487;321487;321775;321775	315899;315899;316232;316232;316498;316498;316906;316906;317375;317375;317863;317863;318191;318191;318562;318562;318820;318820;319113;319113;319422;319853;319853;320052;320052;320318;320318;320618;320618;320861;320861;321143;321143;321537;321537;321843;321843	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1374	1269	1155	932	1329	1068	1696
g411	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	322438;322666;323231;323987;324745	322570;322967;323557;324153;325450	+;+;+;+;+	1635	2581	1780	1673	970	1286	1676
g412	contig_127_pilon;contig_127_pilon;contig_127_pilon	326630;327097;327509	326640;327323;327573	-;-;-	303	1098	1301	1123	727	301	801
g413	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	327797;328104;328454;328777;329075;329286;329579;329879;330204;330518;330741;330981;331199;331533;332156;332977;333227;333715;334973;335132;335350;335841	327999;328170;328522;328893;329146;329380;329660;329929;330284;330559;330839;331052;331322;332030;332652;333078;333448;334412;335016;335204;335773;336050	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3942	4217	4239	3810	2390	787	2778
g414	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	341240;341799;342214;342286;342738	341596;341807;342226;342319;342750	+;+;+;+;+	426	491	263	680	414	257	267
g415	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	342805;342805;344823;344823;345697;345697;346021;346021;346430;346430;346867;347093;347093;347510;347510;347800;347800;347962;347962;349184;349184;349450;349450;349952;349952;350563;350563;351163;351163	344556;344556;345541;345541;345867;345867;346152;346152;346814;346878;346894;347154;347154;347727;347727;347856;347856;348100;348100;349353;349353;349839;349839;350472;350472;350654;350654;351330;351330	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5056	32179	22477	35859	32854	23890	31415
g416	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	352785;353152;353447;353941;354622;355367;355758;356139;356745	352958;353280;353557;354122;355098;355524;355903;356309;357266	-;-;-;-;-;-;-;-;-	2070	963	673	632	1209	1408	1678
g417	contig_127_pilon	357378	357779	-	402	26	19	41	103	97	97
g418	contig_127_pilon;contig_127_pilon	359128;359283	359241;359486	-;-	318	7	4	8	0	0	8
g419	contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon;contig_127_pilon	359572;361139;361450;361730;362210;363010;363411;365311;365707;365919;366369;368790;369022	359774;361298;361542;361838;362381;363184;365127;365368;365790;366060;366889;368863;369350	+;+;+;+;+;+;+;+;+;+;+;+;+	3837	991	1722	1317	485	249	671
